Year,Stage,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1954.0,Quarter-finals,Uruguay,4.0,England,2.0
1954.0,Quarter-finals,Austria,7.0,Switzerland,5.0
1954.0,Quarter-finals,Germany,2.0,Yugoslavia,0.0
1954.0,Quarter-finals,Hungary,4.0,Brazil,2.0
1954.0,Semi-finals,Germany,6.0,Austria,1.0
1954.0,Semi-finals,Hungary,4.0,Uruguay,2.0
1954.0,Match for third place,Austria,3.0,Uruguay,1.0
1954.0,Final,Germany,3.0,Hungary,2.0
1958.0,Group 3,Sweden,3.0,Mexico,0.0
1958.0,Group 4,Soviet Union,2.0,England,2.0
1958.0,Group 1,Argentina,1.0,Germany,3.0
1958.0,Group 3,Hungary,1.0,Wales,1.0
1958.0,Group 2,France,7.0,Paraguay,3.0
1958.0,Group 2,Yugoslavia,1.0,Scotland,1.0
1958.0,Group 4,Brazil,3.0,Austria,0.0
1958.0,Group 1,Northern Ireland,1.0,Czechoslovakia,0.0
1958.0,Group 4,Brazil,0.0,England,0.0
1958.0,Group 3,Mexico,1.0,Wales,1.0
1958.0,Group 2,Paraguay,3.0,Scotland,2.0
1958.0,Group 2,Yugoslavia,3.0,France,2.0
1958.0,Group 4,Soviet Union,2.0,Austria,0.0
1958.0,Group 1,Germany,2.0,Czechoslovakia,2.0
1958.0,Group 1,Argentina,3.0,Northern Ireland,1.0
1958.0,Group 3,Sweden,2.0,Hungary,1.0
1958.0,Group 3,Sweden,0.0,Wales,0.0
1958.0,Group 4,Brazil,2.0,Soviet Union,0.0
1958.0,Group 1,Germany,2.0,Northern Ireland,2.0
1958.0,Group 3,Hungary,4.0,Mexico,0.0
1958.0,Group 2,Paraguay,3.0,Yugoslavia,3.0
1958.0,Group 2,France,2.0,Scotland,1.0
1958.0,Group 4,England,2.0,Austria,2.0
1958.0,Group 1,Czechoslovakia,6.0,Argentina,1.0
1958.0,Group 4,Soviet Union,1.0,England,0.0
1958.0,Group 1,Northern Ireland,2.0,Czechoslovakia,1.0
1958.0,Group 3,Wales,2.0,Hungary,1.0
1958.0,Quarter-finals,Brazil,1.0,Wales,0.0
1958.0,Quarter-finals,Germany,1.0,Yugoslavia,0.0
1958.0,Quarter-finals,Sweden,2.0,Soviet Union,0.0
1958.0,Quarter-finals,France,4.0,Northern Ireland,0.0
1958.0,Semi-finals,Sweden,3.0,Germany,1.0
1958.0,Semi-finals,Brazil,5.0,France,2.0
1958.0,Match for third place,France,6.0,Germany,3.0
1958.0,Final,Brazil,5.0,Sweden,2.0
1962.0,Group 1,Uruguay,2.0,Colombia,1.0
1962.0,Group 3,Brazil,2.0,Mexico,0.0
1962.0,Group 4,Argentina,1.0,Bulgaria,0.0
1962.0,Group 2,Chile,3.0,Switzerland,1.0
1962.0,Group 1,Soviet Union,2.0,Yugoslavia,0.0
1962.0,Group 3,Czechoslovakia,1.0,Spain,0.0
1962.0,Group 4,Hungary,2.0,England,1.0
1962.0,Group 2,Germany,0.0,Italy,0.0
1962.0,Group 1,Yugoslavia,3.0,Uruguay,1.0
1962.0,Group 3,Brazil,0.0,Czechoslovakia,0.0
1962.0,Group 4,England,3.0,Argentina,1.0
1962.0,Group 2,Chile,2.0,Italy,0.0
1962.0,Group 1,Soviet Union,4.0,Colombia,4.0
1962.0,Group 3,Spain,1.0,Mexico,0.0
1962.0,Group 4,Hungary,6.0,Bulgaria,1.0
1962.0,Group 2,Germany,2.0,Switzerland,1.0
1962.0,Group 1,Soviet Union,2.0,Uruguay,1.0
1962.0,Group 3,Brazil,2.0,Spain,1.0
1962.0,Group 4,Hungary,0.0,Argentina,0.0
1962.0,Group 2,Germany,2.0,Chile,0.0
1962.0,Group 1,Yugoslavia,5.0,Colombia,0.0
1962.0,Group 3,Mexico,3.0,Czechoslovakia,1.0
1962.0,Group 4,England,0.0,Bulgaria,0.0
1962.0,Group 2,Italy,3.0,Switzerland,0.0
1962.0,Quarter-finals,Chile,2.0,Soviet Union,1.0
1962.0,Quarter-finals,Brazil,3.0,England,1.0
1962.0,Quarter-finals,Czechoslovakia,1.0,Hungary,0.0
1962.0,Quarter-finals,Yugoslavia,1.0,Germany,0.0
1962.0,Semi-finals,Czechoslovakia,3.0,Yugoslavia,1.0
1962.0,Semi-finals,Brazil,4.0,Chile,2.0
1962.0,Match for third place,Chile,1.0,Yugoslavia,0.0
1962.0,Final,Brazil,3.0,Czechoslovakia,1.0
1966.0,Group 1,England,0.0,Uruguay,0.0
1966.0,Group 2,Germany,5.0,Switzerland,0.0
1966.0,Group 3,Brazil,2.0,Bulgaria,0.0
1966.0,Group 4,Soviet Union,3.0,Korea DPR,0.0
1966.0,Group 1,France,1.0,Mexico,1.0
1966.0,Group 3,Portugal,3.0,Hungary,1.0
1966.0,Group 2,Argentina,2.0,Spain,1.0
1966.0,Group 4,Italy,2.0,Chile,0.0
1966.0,Group 1,Uruguay,2.0,France,1.0
1966.0,Group 2,Spain,2.0,Switzerland,1.0
1966.0,Group 3,Hungary,3.0,Brazil,1.0
1966.0,Group 4,Korea DPR,1.0,Chile,1.0
1966.0,Group 3,Portugal,3.0,Bulgaria,0.0
1966.0,Group 2,Germany,0.0,Argentina,0.0
1966.0,Group 4,Soviet Union,1.0,Italy,0.0
1966.0,Group 1,England,2.0,Mexico,0.0
1966.0,Group 1,Uruguay,0.0,Mexico,0.0
1966.0,Group 2,Argentina,2.0,Switzerland,0.0
1966.0,Group 3,Portugal,3.0,Brazil,1.0
1966.0,Group 4,Korea DPR,1.0,Italy,0.0
1966.0,Group 1,England,2.0,France,0.0
1966.0,Group 3,Hungary,3.0,Bulgaria,1.0
1966.0,Group 2,Germany,2.0,Spain,1.0
1966.0,Group 4,Soviet Union,2.0,Chile,1.0
1966.0,Quarter-finals,England,1.0,Argentina,0.0
1966.0,Quarter-finals,Germany,4.0,Uruguay,0.0
1966.0,Quarter-finals,Soviet Union,2.0,Hungary,1.0
1966.0,Quarter-finals,Portugal,5.0,Korea DPR,3.0
1966.0,Semi-finals,Germany,2.0,Soviet Union,1.0
1966.0,Semi-finals,England,2.0,Portugal,1.0
1966.0,Match for third place,Portugal,2.0,Soviet Union,1.0
1966.0,Final,England,4.0,Germany,2.0
1970.0,Group 1,Mexico,0.0,Soviet Union,0.0
1970.0,Group 2,Uruguay,2.0,Israel,0.0
1970.0,Group 4,Peru,3.0,Bulgaria,2.0
1970.0,Group 3,England,1.0,Romania,0.0
1970.0,Group 2,Italy,1.0,Sweden,0.0
1970.0,Group 4,Germany,2.0,Morocco,1.0
1970.0,Group 3,Brazil,4.0,Czechoslovakia,1.0
1970.0,Group 1,Belgium,3.0,El Salvador,0.0
1970.0,Group 2,Uruguay,0.0,Italy,0.0
1970.0,Group 4,Peru,3.0,Morocco,0.0
1970.0,Group 3,Romania,2.0,Czechoslovakia,1.0
1970.0,Group 1,Soviet Union,4.0,Belgium,1.0
1970.0,Group 2,Sweden,1.0,Israel,1.0
1970.0,Group 4,Germany,5.0,Bulgaria,2.0
1970.0,Group 3,Brazil,1.0,England,0.0
1970.0,Group 1,Mexico,4.0,El Salvador,0.0
1970.0,Group 2,Sweden,1.0,Uruguay,0.0
1970.0,Group 4,Germany,3.0,Peru,1.0
1970.0,Group 3,Brazil,3.0,Romania,2.0
1970.0,Group 1,Soviet Union,2.0,El Salvador,0.0
1970.0,Group 2,Italy,0.0,Israel,0.0
1970.0,Group 4,Bulgaria,1.0,Morocco,1.0
1970.0,Group 3,England,1.0,Czechoslovakia,0.0
1970.0,Group 1,Mexico,1.0,Belgium,0.0
1970.0,Quarter-finals,Italy,4.0,Mexico,1.0
1970.0,Quarter-finals,Germany,3.0,England,2.0
1970.0,Quarter-finals,Brazil,4.0,Peru,2.0
1970.0,Quarter-finals,Uruguay,1.0,Soviet Union,0.0
1970.0,Semi-finals,Brazil,3.0,Uruguay,1.0
1970.0,Semi-finals,Italy,4.0,Germany,3.0
1970.0,Match for third place,Germany,1.0,Uruguay,0.0
1970.0,Final,Brazil,4.0,Italy,1.0
1974.0,Group 2,Brazil,0.0,Yugoslavia,0.0
1974.0,Group 1,Germany,1.0,Chile,0.0
1974.0,Group 1,German DR,2.0,Australia,0.0
1974.0,Group 2,Zaire,0.0,Scotland,2.0
1974.0,Group 3,Uruguay,0.0,Netherlands,2.0
1974.0,Group 3,Sweden,0.0,Bulgaria,0.0
1974.0,Group 4,Italy,3.0,Haiti,1.0
1974.0,Group 4,Poland,3.0,Argentina,2.0
1974.0,Group 1,Australia,0.0,Germany,3.0
1974.0,Group 2,Scotland,0.0,Brazil,0.0
1974.0,Group 1,Chile,1.0,German DR,1.0
1974.0,Group 2,Yugoslavia,9.0,Zaire,0.0
1974.0,Group 3,Netherlands,0.0,Sweden,0.0
1974.0,Group 3,Bulgaria,1.0,Uruguay,1.0
1974.0,Group 4,Haiti,0.0,Poland,7.0
1974.0,Group 4,Argentina,1.0,Italy,1.0
1974.0,Group 2,Scotland,1.0,Yugoslavia,1.0
1974.0,Group 1,Australia,0.0,Chile,0.0
1974.0,Group 2,Zaire,0.0,Brazil,3.0
1974.0,Group 1,German DR,1.0,Germany,0.0
1974.0,Group 3,Bulgaria,1.0,Netherlands,4.0
1974.0,Group 4,Argentina,4.0,Haiti,1.0
1974.0,Group 3,Sweden,3.0,Uruguay,0.0
1974.0,Group 4,Poland,2.0,Italy,1.0
1974.0,Group B,Yugoslavia,0.0,Germany,2.0
1974.0,Group A,Brazil,1.0,German DR,0.0
1974.0,Group A,Netherlands,4.0,Argentina,0.0
1974.0,Group B,Sweden,0.0,Poland,1.0
1974.0,Group A,Argentina,1.0,Brazil,2.0
1974.0,Group B,Poland,2.0,Yugoslavia,1.0
1974.0,Group A,German DR,0.0,Netherlands,2.0
1974.0,Group B,Germany,4.0,Sweden,2.0
1974.0,Group B,Poland,0.0,Germany,1.0
1974.0,Group A,Netherlands,2.0,Brazil,0.0
1974.0,Group A,Argentina,1.0,German DR,1.0
1974.0,Group B,Sweden,2.0,Yugoslavia,1.0
1974.0,Match for third place,Brazil,0.0,Poland,1.0
1974.0,Final,Netherlands,1.0,Germany,2.0
1978.0,Group 2,Germany,0.0,Poland,0.0
1978.0,Group 1,Italy,2.0,France,1.0
1978.0,Group 2,Tunisia,3.0,Mexico,1.0
1978.0,Group 1,Argentina,2.0,Hungary,1.0
1978.0,Group 3,Sweden,1.0,Brazil,1.0
1978.0,Group 3,Austria,2.0,Spain,1.0
1978.0,Group 4,Peru,3.0,Scotland,1.0
1978.0,Group 4,Netherlands,3.0,Iran,0.0
1978.0,Group 1,Italy,3.0,Hungary,1.0
1978.0,Group 2,Poland,1.0,Tunisia,0.0
1978.0,Group 2,Germany,6.0,Mexico,0.0
1978.0,Group 1,Argentina,2.0,France,1.0
1978.0,Group 3,Brazil,0.0,Spain,0.0
1978.0,Group 3,Austria,1.0,Sweden,0.0
1978.0,Group 4,Scotland,1.0,Iran,1.0
1978.0,Group 4,Netherlands,0.0,Peru,0.0
1978.0,Group 1,France,3.0,Hungary,1.0
1978.0,Group 2,Poland,3.0,Mexico,1.0
1978.0,Group 2,Germany,0.0,Tunisia,0.0
1978.0,Group 1,Italy,1.0,Argentina,0.0
1978.0,Group 3,Brazil,1.0,Austria,0.0
1978.0,Group 3,Spain,1.0,Sweden,0.0
1978.0,Group 4,Peru,4.0,Iran,1.0
1978.0,Group 4,Scotland,3.0,Netherlands,2.0
1978.0,Group A,Germany,0.0,Italy,0.0
1978.0,Group A,Netherlands,5.0,Austria,1.0
1978.0,Group B,Brazil,3.0,Peru,0.0
1978.0,Group B,Argentina,2.0,Poland,0.0
1978.0,Group B,Poland,1.0,Peru,0.0
1978.0,Group A,Italy,1.0,Austria,0.0
1978.0,Group A,Germany,2.0,Netherlands,2.0
1978.0,Group B,Argentina,0.0,Brazil,0.0
1978.0,Group A,Netherlands,2.0,Italy,1.0
1978.0,Group A,Austria,3.0,Germany,2.0
1978.0,Group B,Brazil,3.0,Poland,1.0
1978.0,Group B,Argentina,6.0,Peru,0.0
1978.0,Match for third place,Brazil,2.0,Italy,1.0
1978.0,Final,Argentina,3.0,Netherlands,1.0
1982.0,Group 3,Argentina,0.0,Belgium,1.0
1982.0,Group 1,Italy,0.0,Poland,0.0
1982.0,Group 6,Brazil,2.0,Soviet Union,1.0
1982.0,Group 1,Peru,0.0,Cameroon,0.0
1982.0,Group 3,Hungary,10.0,El Salvador,1.0
1982.0,Group 6,Scotland,5.0,New Zealand,2.0
1982.0,Group 2,Germany,1.0,Algeria,2.0
1982.0,Group 4,England,3.0,France,1.0
1982.0,Group 5,Spain,1.0,Honduras,1.0
1982.0,Group 2,Chile,0.0,Austria,1.0
1982.0,Group 4,Czechoslovakia,1.0,Kuwait,1.0
1982.0,Group 5,Yugoslavia,0.0,Northern Ireland,0.0
1982.0,Group 1,Italy,1.0,Peru,1.0
1982.0,Group 3,Argentina,4.0,Hungary,1.0
1982.0,Group 6,Brazil,4.0,Scotland,1.0
1982.0,Group 1,Poland,0.0,Cameroon,0.0
1982.0,Group 3,Belgium,1.0,El Salvador,0.0
1982.0,Group 6,Soviet Union,3.0,New Zealand,0.0
1982.0,Group 2,Germany,4.0,Chile,1.0
1982.0,Group 4,England,2.0,Czechoslovakia,0.0
1982.0,Group 5,Spain,2.0,Yugoslavia,1.0
1982.0,Group 2,Algeria,0.0,Austria,2.0
1982.0,Group 4,France,4.0,Kuwait,1.0
1982.0,Group 5,Honduras,1.0,Northern Ireland,1.0
1982.0,Group 1,Poland,5.0,Peru,1.0
1982.0,Group 3,Belgium,1.0,Hungary,1.0
1982.0,Group 6,Soviet Union,2.0,Scotland,2.0
1982.0,Group 1,Italy,1.0,Cameroon,1.0
1982.0,Group 3,Argentina,2.0,El Salvador,0.0
1982.0,Group 6,Brazil,4.0,New Zealand,0.0
1982.0,Group 2,Algeria,3.0,Chile,2.0
1982.0,Group 4,France,1.0,Czechoslovakia,1.0
1982.0,Group 5,Honduras,0.0,Yugoslavia,1.0
1982.0,Group 2,Germany,1.0,Austria,0.0
1982.0,Group 4,England,1.0,Kuwait,0.0
1982.0,Group 5,Northern Ireland,1.0,Spain,0.0
1982.0,Group 4,Austria,0.0,France,1.0
1982.0,Group 1,Poland,3.0,Belgium,0.0
1982.0,Group 3,Italy,2.0,Argentina,1.0
1982.0,Group 2,Germany,0.0,England,0.0
1982.0,Group 4,Austria,2.0,Northern Ireland,2.0
1982.0,Group 1,Belgium,0.0,Soviet Union,1.0
1982.0,Group 3,Argentina,1.0,Brazil,3.0
1982.0,Group 2,Germany,2.0,Spain,1.0
1982.0,Group 4,France,4.0,Northern Ireland,1.0
1982.0,Group 1,Poland,0.0,Soviet Union,0.0
1982.0,Group 3,Italy,3.0,Brazil,2.0
1982.0,Group 2,Spain,0.0,England,0.0
1982.0,Semi-finals,Poland,0.0,Italy,2.0
1982.0,Semi-finals,Germany,3.0,France,3.0
1982.0,Match for third place,Poland,3.0,France,2.0
1982.0,Final,Italy,3.0,Germany,1.0
1986.0,Group A,Bulgaria,1.0,Italy,1.0
1986.0,Group C,Canada,0.0,France,1.0
1986.0,Group D,Spain,0.0,Brazil,1.0
1986.0,Group C,Soviet Union,6.0,Hungary,0.0
1986.0,Group A,Argentina,3.0,South Korea,1.0
1986.0,Group F,Morocco,0.0,Poland,0.0
1986.0,Group D,Algeria,1.0,Northern Ireland,1.0
1986.0,Group B,Belgium,1.0,Mexico,2.0
1986.0,Group F,Portugal,1.0,England,0.0
1986.0,Group B,Paraguay,1.0,Iraq,0.0
1986.0,Group E,Scotland,0.0,Denmark,1.0
1986.0,Group E,Uruguay,1.0,Germany,1.0
1986.0,Group A,Italy,1.0,Argentina,1.0
1986.0,Group C,France,1.0,Soviet Union,1.0
1986.0,Group A,South Korea,1.0,Bulgaria,1.0
1986.0,Group C,Hungary,2.0,Canada,0.0
1986.0,Group D,Brazil,1.0,Algeria,0.0
1986.0,Group F,England,0.0,Morocco,0.0
1986.0,Group D,Northern Ireland,1.0,Spain,2.0
1986.0,Group B,Mexico,1.0,Paraguay,1.0
1986.0,Group F,Poland,1.0,Portugal,0.0
1986.0,Group B,Iraq,1.0,Belgium,2.0
1986.0,Group E,Denmark,6.0,Uruguay,1.0
1986.0,Group E,Germany,2.0,Scotland,1.0
1986.0,Group C,Hungary,0.0,France,3.0
1986.0,Group C,Soviet Union,2.0,Canada,0.0
1986.0,Group A,South Korea,2.0,Italy,3.0
1986.0,Group A,Argentina,2.0,Bulgaria,0.0
1986.0,Group B,Paraguay,2.0,Belgium,2.0
1986.0,Group B,Iraq,0.0,Mexico,1.0
1986.0,Group F,Portugal,1.0,Morocco,3.0
1986.0,Group F,England,3.0,Poland,0.0
1986.0,Group D,Northern Ireland,0.0,Brazil,3.0
1986.0,Group D,Algeria,0.0,Spain,3.0
1986.0,Group E,Scotland,0.0,Uruguay,0.0
1986.0,Group E,Denmark,2.0,Germany,0.0
1986.0,Round of 16,Soviet Union,3.0,Belgium,4.0
1986.0,Round of 16,Mexico,2.0,Bulgaria,0.0
1986.0,Round of 16,Argentina,1.0,Uruguay,0.0
1986.0,Round of 16,Brazil,4.0,Poland,0.0
1986.0,Round of 16,Italy,0.0,France,2.0
1986.0,Round of 16,Morocco,0.0,Germany,1.0
1986.0,Round of 16,England,3.0,Paraguay,0.0
1986.0,Round of 16,Denmark,1.0,Spain,5.0
1986.0,Quarter-finals,Brazil,1.0,France,1.0
1986.0,Quarter-finals,Germany,0.0,Mexico,0.0
1986.0,Quarter-finals,Spain,1.0,Belgium,1.0
1986.0,Quarter-finals,Argentina,2.0,England,1.0
1986.0,Semi-finals,France,0.0,Germany,2.0
1986.0,Semi-finals,Argentina,2.0,Belgium,0.0
1986.0,Match for third place,France,4.0,Belgium,2.0
1986.0,Final,Argentina,3.0,Germany,2.0
1990.0,Group B,Argentina,0.0,Cameroon,1.0
1990.0,Group B,Soviet Union,0.0,Romania,2.0
1990.0,Group D,"rn"">United Arab Emirates",0.0,Colombia,2.0
1990.0,Group A,Italy,1.0,Austria,0.0
1990.0,Group A,USA,1.0,Czechoslovakia,5.0
1990.0,Group C,Brazil,2.0,Sweden,1.0
1990.0,Group D,Germany,4.0,Yugoslavia,1.0
1990.0,Group C,Costa Rica,1.0,Scotland,0.0
1990.0,Group F,England,1.0,"rn"">Republic of Ireland",1.0
1990.0,Group E,Belgium,2.0,South Korea,0.0
1990.0,Group F,Netherlands,1.0,Egypt,1.0
1990.0,Group E,Uruguay,0.0,Spain,0.0
1990.0,Group B,Argentina,2.0,Soviet Union,0.0
1990.0,Group B,Cameroon,2.0,Romania,1.0
1990.0,Group D,Yugoslavia,1.0,Colombia,0.0
1990.0,Group A,Italy,1.0,USA,0.0
1990.0,Group A,Austria,0.0,Czechoslovakia,1.0
1990.0,Group D,Germany,5.0,"rn"">United Arab Emirates",1.0
1990.0,Group C,Brazil,1.0,Costa Rica,0.0
1990.0,Group C,Sweden,1.0,Scotland,2.0
1990.0,Group F,England,0.0,Netherlands,0.0
1990.0,Group F,"rn"">Republic of Ireland",0.0,Egypt,0.0
1990.0,Group E,South Korea,1.0,Spain,3.0
1990.0,Group E,Belgium,3.0,Uruguay,1.0
1990.0,Group B,Argentina,1.0,Romania,1.0
1990.0,Group B,Cameroon,0.0,Soviet Union,4.0
1990.0,Group D,Germany,1.0,Colombia,1.0
1990.0,Group D,Yugoslavia,4.0,"rn"">United Arab Emirates",1.0
1990.0,Group A,Italy,2.0,Czechoslovakia,0.0
1990.0,Group A,Austria,2.0,USA,1.0
1990.0,Group C,Brazil,1.0,Scotland,0.0
1990.0,Group C,Sweden,1.0,Costa Rica,2.0
1990.0,Group E,South Korea,0.0,Uruguay,1.0
1990.0,Group E,Belgium,1.0,Spain,2.0
1990.0,Group F,"rn"">Republic of Ireland",1.0,Netherlands,1.0
1990.0,Group F,England,1.0,Egypt,0.0
1990.0,Round of 16,Cameroon,2.0,Colombia,1.0
1990.0,Round of 16,Czechoslovakia,4.0,Costa Rica,1.0
1990.0,Round of 16,Brazil,0.0,Argentina,1.0
1990.0,Round of 16,Germany,2.0,Netherlands,1.0
1990.0,Round of 16,"rn"">Republic of Ireland",0.0,Romania,0.0
1990.0,Round of 16,Italy,2.0,Uruguay,0.0
1990.0,Round of 16,Spain,1.0,Yugoslavia,2.0
1990.0,Round of 16,England,1.0,Belgium,0.0
1990.0,Quarter-finals,Yugoslavia,0.0,Argentina,0.0
1990.0,Quarter-finals,Italy,1.0,"rn"">Republic of Ireland",0.0
1990.0,Quarter-finals,Germany,1.0,Czechoslovakia,0.0
1990.0,Quarter-finals,England,3.0,Cameroon,2.0
1990.0,Semi-finals,Italy,1.0,Argentina,1.0
1990.0,Semi-finals,Germany,1.0,England,1.0
1990.0,Match for third place,Italy,2.0,England,1.0
1990.0,Final,Germany,1.0,Argentina,0.0
1994.0,Group C,Spain,2.0,South Korea,2.0
1994.0,Group C,Germany,1.0,Bolivia,0.0
1994.0,Group A,USA,1.0,Switzerland,1.0
1994.0,Group E,Italy,0.0,"rn"">Republic of Ireland",1.0
1994.0,Group A,Colombia,1.0,Romania,3.0
1994.0,Group F,Belgium,1.0,Morocco,0.0
1994.0,Group E,Norway,1.0,Mexico,0.0
1994.0,Group B,Cameroon,2.0,Sweden,2.0
1994.0,Group F,Netherlands,2.0,Saudi Arabia,1.0
1994.0,Group B,Brazil,2.0,Russia,0.0
1994.0,Group D,Argentina,4.0,Greece,0.0
1994.0,Group D,Nigeria,3.0,Bulgaria,0.0
1994.0,Group C,Germany,1.0,Spain,1.0
1994.0,Group A,Romania,1.0,Switzerland,4.0
1994.0,Group A,USA,2.0,Colombia,1.0
1994.0,Group E,Italy,1.0,Norway,0.0
1994.0,Group C,South Korea,0.0,Bolivia,0.0
1994.0,Group E,Mexico,2.0,"rn"">Republic of Ireland",1.0
1994.0,Group B,Sweden,3.0,Russia,1.0
1994.0,Group B,Brazil,3.0,Cameroon,0.0
1994.0,Group F,Belgium,1.0,Netherlands,0.0
1994.0,Group F,Saudi Arabia,2.0,Morocco,1.0
1994.0,Group D,Argentina,2.0,Nigeria,1.0
1994.0,Group D,Bulgaria,4.0,Greece,0.0
1994.0,Group A,USA,0.0,Romania,1.0
1994.0,Group A,Switzerland,0.0,Colombia,2.0
1994.0,Group C,Germany,3.0,South Korea,2.0
1994.0,Group C,Bolivia,1.0,Spain,3.0
1994.0,Group E,"rn"">Republic of Ireland",0.0,Norway,0.0
1994.0,Group B,Brazil,1.0,Sweden,1.0
